modelo_celular,maior_preco,menor_preco,data_anuncio,destino_do_link,link_anuncio,timestamp
"iPhone 11 Pro Max Apple 64GB, Tela Retina HD de 6,5”, iOS 13, Tripla Câmera Traseira, Resistente à Água e Bateria de Longa Duração - Cinza-Espacial","R$ 7.138,98","R$ 7.138,98", Abr/2020,www.pontofrio-imagens.com.br,https://produto.pontofrio.com.br/50004417?utm_source=jacotei&utm_medium=comparadorpreco&utm_content=50004417&cm_mmc=jacotei_XML-_-TELE-_-Comparador-_-50004417,Thu May 21 23:18:32 2020
"iPhone 11 Pro Max Apple com 64GB, Tela Retina HD de 6,5”, iOS 13, Tripla Câmera Traseira, Resistente à Água e Bateria de Longa Duração - Dourado","R$ 7.067,07","R$ 7.067,07", Mai/2020,www.casasbahia-imagens.com.br,https://produto.casasbahia.com.br/50004419?utm_source=jacotei&utm_medium=comparadorpreco&utm_content=50004419&cm_mmc=jacotei_XML-_-TELE-_-Comparador-_-50004419,Thu May 21 23:18:32 2020
"iPhone 11 Pro Max Apple com 64GB, Tela Retina HD de 6,5”, iOS 13, Tripla Câmera Traseira, Resistente à Água e Bateria de Longa Duração - Prateado","R$ 7.067,07","R$ 7.067,07", Mai/2020,www.casasbahia-imagens.com.br,https://produto.casasbahia.com.br/50004418?utm_source=jacotei&utm_medium=comparadorpreco&utm_content=50004418&cm_mmc=jacotei_XML-_-TELE-_-Comparador-_-50004418,Thu May 21 23:18:32 2020
"iPhone 11 Pro Max Apple com 64GB, Tela Retina HD de 6,5”, iOS 13, Tripla Câmera Traseira, Resistente à Água e Bateria de Longa Duração - Dourado","R$ 7.067,07","R$ 7.067,07", Mai/2020,www.pontofrio-imagens.com.br,https://produto.pontofrio.com.br/50004419?utm_source=jacotei&utm_medium=comparadorpreco&utm_content=50004419&cm_mmc=jacotei_XML-_-TELE-_-Comparador-_-50004419,Thu May 21 23:18:32 2020
"iPhone Apple 11 Pro 256GB Desbloqueado 5.8"" Dourado","R$ 7.999,90","R$ 7.019,10", Out/2019,jacotei.com.br,https://www.jacotei.com.br/iphone-apple-11-pro-256gb-desbloqueado-5-8-dourado/p,Thu May 21 23:18:32 2020
"iPhone Apple 11 Pro 256GB Desbloqueado 5.8"" Verde","R$ 7.999,90","R$ 7.019,10", Out/2019,jacotei.com.br,https://www.jacotei.com.br/iphone-apple-11-pro-256gb-desbloqueado-5-8-verde/p,Thu May 21 23:18:32 2020
"iPhone Apple 11 Pro 256GB Desbloqueado 5.8"" Cinza Espacial","R$ 7.799,00","R$ 7.019,10", Set/2019,jacotei.com.br,https://www.jacotei.com.br/iphone-apple-11-pro-256gb-desbloqueado-5-8-cinza-espacial/p,Thu May 21 23:18:32 2020
"iPhone 11 Pro 256GB Desbloqueado 5.8"" Prata","R$ 8.271,90","R$ 7.019,10", Out/2019,jacotei.com.br,https://www.jacotei.com.br/iphone-apple-11-pro-256gb-desbloqueado-5-8-prata/p,Thu May 21 23:18:32 2020
Smartphone Samsung Galaxy S20 Ultra SM-G988B Desbloqueado Dual Chip 512GB Android 10 Preto,"R$ 8.499,00","R$ 6.999,00", Mar/2020,jacotei.com.br,https://www.jacotei.com.br/smartphone-samsung-galaxy-s20-ultra-sm-g988b-desbloqueado-dual-chip-512gb-android-10-preto/p,Thu May 21 23:18:32 2020
"iPhone XR Apple 6.1"" Desbloqueado 64GB Preto + Apple Watch Series 4 Cellular","R$ 6.927,48","R$ 6.927,48", Abr/2020,jacotei.com.br,https://www.jacotei.com.br/iphone-xr-apple-6-1-desbloqueado-64gb-preto-apple-watch-series-4-cellular/p,Thu May 21 23:18:32 2020
